section	vendor	toledo_number	type	english_description	chinese_description	serving_size	unit	total_calories_cal	percent_cal	calories_from_fat_fat_cal	total_fat_g	percent_fat	saturated_fat_g	percent_sat_fat	trans_fat_g	cholesterol_mg	percent_chol	sodium_mg	percent_sod	total_carbohydrate_g	percent_carb	dietary_fiber_g	percent_diet	sugars_g	protein_g	percent_pro
cold_deli	fpc	28278300000	marinated	MARINATED EGGS	ùFµ∞	0.5	lb	410.51	0.21	208.41	23.16	0.36	11.12	0.56	0.23	975.24	3.25	2077.49	0.87	14.4	0.05	0.01	0	4.76	35.97	0.72
cold_deli	fpc	28278100000		FRIED SWEET RICE YU FAN	”ÕÔà	0.13	lb	187.3	0.09	4.95	0.28	0	0.09	0	0	0.31	0	1023.44	0.43	39.64	0.13	1.2	0.05	2.42	4.07	0.08
hot_deli	fpc	28284400000		FRIED SWEET RICE YU FAN	”ÕÔà	0.13	lb	187.3	0.09	4.95	0.28	0	0.09	0	0	0.31	0	1023.44	0.43	39.64	0.13	1.2	0.05	2.42	4.07	0.08
cold_deli	fpc	28274900000		BAMBOO SHOOT W FLUID MUSHROOM	”Õ†FπS	0.5	lb	87.34	0.04	47.15	5.13	0.08	0.88	0.04	0	0	0	756.59	0.32	10.39	0.03	6.47	0.26	2.93	4.63	0.09
cold_deli	fpc	9223033		SOUR MUSTARD	≥¥À·≤À	0.5	lb	182.61	0.09	36.25	4.06	0.06	0.58	0.03	0	0	0	3688.93	1.54	33.77	0.11	0	0	26.74	7.6	0.15
cold_deli	fpc	20122000000		DRIED MUSTARD CABBAGE	√∑≤À«¨	0.5	lb	362.88	0.18	68.04	0	0	0	0	0	0	0	27.22	0.01	27.22	0.09	9.07	0.36	31.75	9.07	0.18
cold_deli	fpc	9300720		CHILY OIL	ºt”Õ	0.05	lb	166.92	0.08	172.59	19.18	0.3	2.74	0.14	0	0	0	0.39	0	0.49	0	0.24	0.01	0.06	0.15	0
cold_deli	fpc	9300757		BRAISED PORK KNUCKLE	·uÃ„∞Ú	0.5	lb	482.57	0.24	271.57	30.18	0.46	11.46	0.57	0	167.62	0.56	1862.98	0.78	15.34	0.05	0.18	0.01	10.73	37.64	0.75
cold_deli	fpc	9300843		BRAISED PORK W PRESERVED VEGETABLES	√∑≤Àø€»‚	0.25	lb	388.06	0.19	305.24	33.11	0.51	12.07	0.6	0	44.97	0.15	729.29	0.3	8.19	0.03	1	0.04	7.74	7.82	0.16
cold_deli	fpc	9300342		BRAISED BEEF	ºtü˝≈£»‚	0.5	lb	238.33	0.12	61.93	6.88	0.11	2.3	0.12	0	75.02	0.25	1035.16	0.43	1.38	0	0.09	0	0.96	40.19	0.8
cold_deli	fpc	9300357		ROAST PORK DIP SAUCE	øæÿi’¥·u	0.1	lb	128.65	0.06	33.86	3.65	0.06	0.4	0.02	0	0	0	585.01	0.24	21.95	0.07	1.51	0.06	18.43	2.2	0.04
cold_deli	fpc	9301062		PORK BELLIES IN RED YEAST RICE	ºt‘„»‚	0.25	lb	525.99	0.26	460.86	51.21	0.79	18.66	0.93	0	69.48	0.23	49.73	0.02	5.85	0.02	0.33	0.01	2.51	9.64	0.19
cold_deli	fpc	9300356		ROAST DUCK PLUM SAUCE	ÃK√∑·u-øæ¯Ü”√’¥·u	0.1	lb	92.23	0.05	0	0	0	0	0	0	0	0	480.19	0.2	22.9	0.08	0	0	21.39	0	0
cold_deli	fpc	9223096		SEASONED PEANUT W O/HULL	ùFª®…˙√◊	0.15	lb	388.71	0.19	305.3	33.92	0.52	5.57	0.28	0	0	0	1244.12	0.52	10.35	0.03	6.2	0.25	2.69	18.21	0.36
cold_deli	store_made_38	28500700000		GOURMET APPETIZER   MARINATED PORK EAR	Ç˜Ωy–°≤À	0.25	lb	211.12	0.11	124.22	13.64	0.21	3.92	0.2	0	253.01	0.84	650.24	0.27	3.51	0.01	0.09	0	2.25	18.31	0.37
cold_deli	store_made_38	28500700000		GOURMET APPETIZER   MARINATED PORK HOCK	Ç˜Ωy–°≤À	0.25	lb	309.9	0.15	208.31	22.99	0.35	7.89	0.39	0	99.79	0.33	574.64	0.24	3.62	0.01	0.09	0	1.64	21.86	0.44
cold_deli	store_made_38	28500700000		GOURMET APPETIZER   MARINATED BEEF SHANK	Ç˜Ωy–°≤À	0.25	lb	223.22	0.11	77.86	8.49	0.13	2.7	0.14	0.14	107.86	0.36	602.87	0.25	2	0.01	0.09	0	1.54	34.38	0.69
cold_deli	store_made_38	28500700000		GOURMET APPETIZER   PORK EAR WITH PIPERITUM	Ç˜Ωy–°≤À	0.25	lb	298.57	0.15	197.81	21.92	0.34	6.67	0.33	0	80.86	0.27	271.3	0.11	1.42	0	0.11	0	0.53	22.38	0.45
cold_deli	store_made_38	28500700000		GOURMET APPETIZER   BEEF TENDON WITH PIPERITUM	Ç˜Ωy–°≤À	0.25	lb	233.49	0.12	120.6	13.34	0.21	3.38	0.17	0.13	93.68	0.31	816.6	0.34	2.7	0.01	0.11	0	2.4	25.53	0.51
hot_deli	steam_table			SALT AND PEPPER SHRIMP	Ω∑—Œœ∫	0.4	lb	241.11	0.12	136.26	15.14	0.23	2.42	0.12	0.14	99.1	0.33	2801.38	1.17	14.17	0.05	3.68	0.15	3.47	14.8	0.3
hot_deli	steam_table	28282600000		DEEP FRIED FISH WHOLE	’®Ù~(ól)	0.4	lb	225.22	0.11	75.06	8.34	0.13	1.78	0.09	0	0	0	89.73	0.04	3.14	0.01	0	0	0	34.63	0.69
hot_deli	store_made_16	28581600000		GUO BAO	ÿ◊∞¸	0.25	lb	486.5	0.24	435.11	48.34	0.74	17.62	0.88	0	65.61	0.22	673.88	0.28	1.6	0.01	0.06	0	0.36	9.89	0.2
hot_deli	store_made_805	28410400000		CHICKEN TERIYAKI	»’ Ω’’…’º¶	0.5	lb	256.9	0.13	50.17	5.57	0.09	1.13	0.06	0.01	130.37	0.43	739.88	0.31	7.61	0.03	0.24	0.01	6.45	41.22	0.82
hot_deli	store_made	82663		MILK TEA	ƒÃ≤Ë	16	lb	155.17	0.08	26.52	2.86	0.04	2.65	0.13	0	0	0	24.31	0.01	47.65	0.16	0	0	40.05	0.2	0
hot_deli	store_made	82664		JUMBO TAPIOCA W MILK TEA	≤®∞‘ƒÃ≤Ë	16	lb	285.1	0.14	23.25	2.5	0.04	2.33	0.12	0	0	0	95.85	0.04	77.18	0.26	0	0	35.12	0.18	0
hot_deli	store_made	82665		JUMBO TAPIOCA GREEN TEA	≤®∞‘æG≤Ë	16	lb	151.24	0.08	0	0	0	0	0	0	0	0	91.11	0.04	35.87	0.12	0	0	0	0	0
hot_deli	store_made	82659		THAI TEA W PEARL	Ã© Ω’‰÷ÈƒÃ≤Ë	16	lb	596.52	0.3	65.71	7.08	0.11	6.57	0.33	0	0	0	96.09	0.04	135.02	0.45	0.15	0.01	90.02	0.51	0.01
hot_deli	store_made	82672		WINTER MELON JUICE	∂¨πœ≤Ë	16	lb	246.52	0.12	0	0	0	0	0	0	0	0	32.78	0.01	60.26	0.2	0	0	49.3	0	0
hot_deli	store_made	92138		ICE TEA	±˘ºt≤Ë	16	lb	90.72	0.05	0	0	0	0	0	0	0	0	36.29	0.02	22.68	0.08	0	0	0	0	0
